customer_id,tenure_months,monthly_bill_rm,support_tickets_last_6m,avg_monthly_data_gb,late_payments_last_12m,contract_length_months,has_family_plan,uses_autopay,satisfaction_score,churned
C00001,7,118.61,6,115.6,0,24,1,1,1,1
C00002,44,199.26,3,73.0,6,1,1,0,1,1
C00003,58,73.06,0,43.5,2,6,0,1,7,0
C00004,34,174.06,0,324.0,5,36,1,0,10,0
C00005,41,48.45,8,185.3,7,36,1,1,9,1
C00006,24,244.6,1,384.2,4,6,1,1,9,0
C00007,10,243.86,6,242.9,5,1,0,0,6,1
C00008,46,319.33,6,225.8,0,12,1,0,9,0
C00009,23,87.28,8,189.5,7,1,0,0,8,1
C00010,33,264.69,4,401.2,6,1,0,0,9,1
C00011,12,67.8,0,335.2,6,1,1,0,6,1
C00012,61,54.08,8,144.0,5,1,0,1,2,0
C00013,19,147.33,3,313.8,0,36,1,1,3,0
C00014,38,258.44,6,157.9,5,36,0,0,10,0
C00015,8,248.87,7,282.4,5,24,1,1,7,0
C00016,4,88.61,5,366.6,2,12,0,1,4,0
C00017,44,70.54,8,105.9,5,12,1,0,9,1
C00018,26,183.91,0,85.6,3,1,1,0,6,0
C00019,18,300.58,8,61.2,7,24,1,0,5,1
C00020,63,138.64,3,353.7,2,36,0,1,6,0
C00021,16,235.1,5,362.6,5,24,1,1,4,1
C00022,44,268.15,3,345.5,2,24,0,1,7,0
C00023,23,280.49,6,157.9,4,1,1,1,1,1
C00024,7,206.14,4,49.6,5,6,1,1,8,0
C00025,45,113.31,7,212.9,4,12,0,0,2,1
C00026,64,246.78,7,227.1,7,36,0,1,6,0
C00027,29,209.36,0,197.3,4,36,0,1,7,0
C00028,9,284.69,4,74.7,6,12,1,0,10,1
C00029,22,99.52,4,222.8,3,12,1,1,4,0
C00030,12,73.39,8,236.3,3,36,0,1,7,0
C00031,58,75.51,6,321.1,6,36,1,0,8,0
C00032,28,313.66,0,106.5,3,1,1,0,1,1
C00033,42,195.41,0,388.7,3,24,1,0,5,0
C00034,42,103.3,0,315.7,2,24,0,1,4,0
C00035,56,152.44,3,166.9,7,1,1,0,8,0
C00036,14,79.64,7,389.5,5,36,0,1,9,0
C00037,47,103.68,0,48.9,1,36,1,0,4,0
C00038,24,160.17,7,63.3,0,6,0,1,1,1
C00039,29,170.84,3,279.4,0,1,0,0,8,0
C00040,18,228.8,5,187.4,3,6,0,1,6,0
C00041,12,230.7,4,140.9,6,12,0,0,1,1
C00042,15,299.31,4,102.3,0,36,1,1,9,0
C00043,17,277.79,0,255.1,5,12,0,1,9,0
C00044,38,66.97,2,258.2,7,1,0,1,2,1
C00045,46,162.53,7,122.6,2,24,0,1,1,0
C00046,21,259.53,5,81.4,2,36,0,1,2,0
C00047,10,144.31,4,154.9,4,24,0,1,9,0
C00048,16,228.21,1,409.7,5,12,1,1,4,1
C00049,15,215.31,7,352.5,5,6,0,1,1,1
C00050,31,296.84,6,58.8,1,6,1,1,3,0
C00051,50,272.72,1,367.6,1,36,1,1,10,0
C00052,70,241.44,4,134.2,5,1,0,1,5,0
C00053,26,162.42,7,23.7,1,6,0,0,9,0
C00054,9,168.47,3,171.3,6,36,1,0,4,1
C00055,6,303.2,4,296.0,3,1,0,0,1,1
C00056,61,214.2,5,279.7,6,24,0,0,1,1
C00057,18,260.07,4,156.4,6,12,1,1,3,1
C00058,71,70.2,0,374.5,2,36,0,1,4,0
C00059,71,176.84,5,127.9,7,12,1,1,4,1
C00060,48,59.41,1,208.7,5,24,0,0,10,0
C00061,50,313.21,8,287.0,1,24,0,1,6,1
C00062,54,260.99,4,145.2,7,6,0,0,1,1
C00063,19,146.48,0,63.2,2,24,0,0,9,0
C00064,24,257.29,7,212.6,0,24,0,1,6,0
C00065,65,220.58,3,32.8,7,24,1,0,7,0
C00066,12,314.58,7,197.5,1,1,1,1,6,0
C00067,71,236.11,8,202.6,5,6,0,0,3,1
C00068,26,269.32,7,182.9,0,12,0,1,6,0
C00069,10,140.15,0,54.0,2,36,0,1,9,0
C00070,64,62.63,3,81.1,3,12,1,1,2,0
C00071,46,185.16,6,47.5,4,1,0,1,3,1
C00072,9,161.12,7,390.6,6,24,0,1,1,1
C00073,39,305.34,6,161.2,5,12,1,0,6,1
C00074,16,52.41,6,212.5,0,6,1,1,5,0
C00075,61,144.19,8,318.0,0,36,1,0,4,0
C00076,61,198.48,4,382.9,2,6,1,1,6,0
C00077,58,172.39,4,186.1,4,1,1,1,2,0
C00078,42,150.26,8,58.7,0,6,1,1,10,0
C00079,31,258.7,2,382.0,3,24,0,1,9,1
C00080,60,235.91,2,415.2,5,36,0,0,5,0
C00081,21,169.9,3,259.5,3,12,0,0,5,0
C00082,25,213.06,0,80.1,5,36,0,1,1,1
C00083,6,140.54,1,77.5,7,24,0,0,9,0
C00084,31,224.98,6,374.7,3,12,0,1,3,1
C00085,52,308.2,7,134.0,6,36,0,0,4,1
C00086,57,184.09,3,70.9,2,6,1,0,2,1
C00087,23,237.72,7,303.4,6,6,0,1,2,1
C00088,33,199.46,4,103.0,2,36,0,0,1,0
C00089,12,157.77,4,410.5,1,6,1,1,9,0
C00090,70,130.28,7,269.4,2,12,1,0,8,0
C00091,60,278.94,1,294.1,7,12,1,0,4,0
C00092,33,118.53,8,43.3,0,12,1,1,8,0
C00093,23,111.07,5,90.9,7,6,0,1,6,1
C00094,34,318.17,5,351.9,6,36,1,0,4,0
C00095,29,230.32,3,69.2,5,24,1,0,8,0
C00096,7,110.29,4,60.3,4,6,1,0,3,1
C00097,17,92.6,4,330.0,7,1,1,1,5,0
C00098,42,263.27,1,101.4,7,12,0,1,3,0
C00099,36,303.69,7,230.5,7,36,0,0,4,1
C00100,55,107.99,8,210.1,5,6,0,0,1,1
C00101,9,64.91,8,214.2,7,12,0,1,7,0
C00102,26,187.0,3,348.0,0,36,0,1,5,0
C00103,37,82.67,6,138.1,3,6,0,1,4,0
C00104,14,214.66,0,300.6,0,12,0,1,6,0
C00105,22,219.72,4,271.4,3,24,1,0,10,0
C00106,62,205.47,4,383.0,7,12,1,0,8,0
C00107,9,222.59,2,270.5,0,12,1,1,4,1
C00108,4,102.62,3,76.0,2,12,0,1,3,0
C00109,66,150.18,3,387.3,1,36,0,0,4,1
C00110,64,138.86,3,283.9,6,36,0,1,7,0
C00111,24,275.91,6,77.5,3,12,0,0,7,1
C00112,59,315.35,1,12.7,0,36,0,1,2,0
C00113,13,81.4,3,370.4,3,6,0,1,1,1
C00114,65,104.78,5,234.4,2,24,1,0,2,0
C00115,60,62.48,5,356.7,1,6,1,0,9,0
C00116,29,112.44,1,366.4,4,36,1,0,4,0
C00117,33,147.48,5,407.8,1,6,1,0,2,0
C00118,36,66.69,8,275.4,6,6,1,1,8,0
C00119,27,197.82,7,21.1,0,1,0,1,7,1
C00120,68,242.27,0,385.9,3,12,0,0,10,0
C00121,39,280.13,1,391.9,7,1,0,1,9,1
C00122,53,228.07,7,145.5,2,24,0,1,9,0
C00123,42,288.1,4,75.2,3,24,1,0,2,1
C00124,32,167.51,3,295.2,4,12,1,0,9,0
C00125,17,83.17,6,62.6,7,1,1,0,4,1
C00126,37,137.91,5,389.9,6,12,0,0,10,0
C00127,68,153.17,6,325.5,0,12,0,1,8,0
C00128,28,170.68,3,95.4,2,36,1,0,6,0
C00129,11,156.02,3,178.5,7,6,0,1,9,0
C00130,29,165.47,2,342.7,4,12,0,0,8,0
C00131,6,145.18,2,368.2,6,36,0,0,8,0
C00132,3,268.56,2,56.0,2,36,0,0,2,1
C00133,62,228.89,8,217.4,2,24,1,0,1,0
C00134,33,103.44,6,254.2,5,36,0,0,3,1
C00135,38,261.16,7,12.8,2,12,1,1,5,0
C00136,15,256.59,7,296.3,1,6,1,0,4,1
C00137,53,54.77,7,193.4,3,24,0,1,6,0
C00138,25,99.36,3,223.0,3,6,1,1,5,0
C00139,24,205.75,0,134.5,4,24,0,0,6,0
C00140,53,312.04,5,240.9,7,24,1,0,3,0
C00141,56,229.79,5,90.9,0,1,1,0,10,0
C00142,13,105.98,5,249.5,4,36,0,1,9,0
C00143,62,319.37,8,21.4,4,12,1,0,2,1
C00144,46,245.51,4,381.4,3,1,1,0,3,1
C00145,43,195.3,4,264.1,3,6,1,1,4,1
C00146,35,159.25,7,26.7,5,12,0,0,8,1
C00147,47,235.84,5,139.2,5,36,0,0,10,0
C00148,42,114.96,8,296.3,3,24,1,0,6,0
C00149,45,282.29,6,294.9,7,24,0,0,7,1
C00150,69,283.75,7,33.5,4,1,0,0,8,1
C00151,47,238.72,3,152.8,6,1,1,0,8,0
C00152,23,186.66,3,29.9,3,36,0,0,1,0
C00153,1,318.18,8,415.4,1,6,1,0,9,1
C00154,31,176.5,6,148.2,5,1,0,1,4,0
C00155,16,268.58,1,325.0,1,1,0,1,3,0
C00156,57,270.44,6,193.5,0,6,0,0,1,0
C00157,25,102.55,1,371.4,0,24,1,1,8,0
C00158,12,81.49,7,313.8,3,1,1,1,9,0
C00159,42,141.86,5,47.5,0,24,0,1,9,0
C00160,48,132.18,7,343.5,1,36,1,0,3,0
C00161,49,246.3,8,122.2,5,36,1,0,10,0
C00162,49,67.18,5,103.6,1,6,1,1,1,0
C00163,24,168.26,5,30.7,7,1,1,0,7,1
C00164,42,95.65,4,268.5,2,1,0,0,6,0
C00165,43,186.8,3,258.0,6,24,1,0,9,1
C00166,34,83.59,6,117.9,0,1,0,0,10,0
C00167,7,269.58,3,58.4,1,12,1,0,5,1
C00168,71,98.38,5,281.0,4,12,1,1,7,0
C00169,35,187.49,0,329.2,4,1,0,1,7,0
C00170,44,148.66,2,75.8,5,12,0,1,8,0
C00171,72,194.39,8,385.0,4,12,0,0,6,0
C00172,23,265.18,7,23.2,0,1,0,0,4,1
C00173,21,71.11,3,227.4,0,1,0,0,2,1
C00174,29,213.45,7,82.0,0,1,1,1,4,0
C00175,12,227.03,6,349.0,5,12,0,0,1,1
C00176,65,295.33,8,386.7,7,12,0,1,10,0
C00177,42,233.83,0,136.2,3,24,1,1,3,1
C00178,3,314.22,7,8.8,7,36,0,1,7,1
C00179,47,239.52,7,226.5,5,12,1,1,9,0
C00180,70,132.71,4,365.3,6,6,0,0,3,0
C00181,41,268.79,7,299.3,1,12,1,0,5,1
C00182,21,254.95,4,350.1,0,24,1,0,9,0
C00183,46,84.82,6,310.3,0,36,1,0,9,0
C00184,35,89.71,2,242.9,4,24,0,1,1,0
C00185,61,215.81,7,266.0,7,36,0,1,4,1
C00186,38,208.71,6,175.0,3,12,0,0,6,1
C00187,35,120.37,4,98.8,1,6,1,0,5,0
C00188,8,205.5,1,208.2,3,24,1,0,2,1
C00189,38,140.5,1,232.5,6,24,1,1,4,0
C00190,47,164.89,1,311.0,7,12,0,0,8,0
C00191,60,187.8,4,375.1,7,36,1,1,10,0
C00192,49,64.4,4,20.4,0,1,1,0,4,0
C00193,13,85.24,8,27.5,3,24,0,1,6,0
C00194,16,299.38,7,381.8,1,1,0,0,6,1
C00195,1,119.06,1,84.8,1,12,1,0,2,1
C00196,43,253.84,6,197.2,6,6,0,1,2,1
C00197,30,123.18,2,268.9,0,24,1,1,3,0
C00198,48,155.23,5,248.1,7,6,1,1,7,0
C00199,43,60.86,5,283.4,4,12,1,0,4,1
C00200,50,284.66,2,226.6,2,24,1,0,8,0
C00201,64,121.58,7,366.4,5,24,0,1,10,0
C00202,16,227.13,3,223.3,3,1,0,0,4,1
C00203,10,245.21,7,10.2,7,12,0,1,9,0
C00204,43,142.32,5,297.0,6,12,1,1,4,1
C00205,36,278.53,2,64.1,1,1,1,1,9,0
C00206,41,90.44,3,238.7,3,24,0,0,4,0
C00207,55,169.72,0,69.0,1,12,0,1,7,0
C00208,32,159.77,2,398.3,3,12,0,0,6,0
C00209,9,61.72,7,364.0,0,1,0,0,7,0
C00210,52,118.97,2,391.2,5,1,1,1,1,0
C00211,18,147.14,0,364.7,3,12,0,0,7,0
