property_id,floor_area_sqft,bedrooms,bathrooms,property_age_years,distance_to_city_km,distance_to_mrt_km,parking_spots,furnishing_score,neighborhood_income_rm,monthly_maintenance_rm,sale_price_rm
P0001,3169,6,5,17,10.4,0.78,4,9,5700,917.47,1606561.43
P0002,1502,5,5,1,22.0,3.61,4,9,14200,580.4,950267.15
P0003,2963,6,5,10,27.0,1.77,4,4,12100,771.56,1450853.2
P0004,1958,6,5,2,28.1,2.73,4,2,17600,585.76,1155485.78
P0005,3124,6,5,12,27.2,0.32,4,5,5500,887.85,1487122.11
P0006,2407,6,5,10,15.0,1.13,4,2,19000,700.76,1389015.46
P0007,2737,6,5,10,18.4,1.42,4,9,9100,849.12,1457406.07
P0008,1488,3,3,25,11.3,1.13,3,6,8900,550.38,755098.54
P0009,2170,6,5,9,11.2,1.31,4,9,10200,753.3,1213394.16
P0010,2032,4,3,32,19.5,3.8,2,3,19500,527.76,1088822.61
P0011,3337,6,5,4,15.5,3.02,4,9,9900,985.77,1701865.08
P0012,3502,6,5,34,28.9,3.87,4,2,11000,877.84,1563520.38
P0013,2408,5,5,16,37.0,3.83,4,2,19500,667.28,1188622.44
P0014,1176,3,2,34,36.3,4.62,1,10,11700,455.54,447049.47
P0015,1008,2,2,15,3.6,4.4,0,2,15900,327.04,705083.37
P0016,1065,2,3,30,36.1,0.91,2,10,14300,518.14,529720.78
P0017,2758,6,5,12,27.5,2.06,4,6,14700,838.4,1400818.84
P0018,812,2,1,35,9.9,1.18,0,1,9300,204.9,419528.49
P0019,678,2,1,32,10.2,3.38,0,9,6800,342.38,379222.99
P0020,1545,4,4,12,4.9,3.33,3,7,14000,553.8,957506.79
P0021,3536,6,5,6,3.7,3.67,4,4,8400,883.5,1757768.55
P0022,1690,4,3,4,17.7,4.32,4,2,4700,573.41,830546.2
P0023,2764,6,5,15,7.6,2.48,4,7,5000,777.98,1442488.82
P0024,3761,6,5,27,26.9,3.68,4,8,7400,971.97,1689813.42
P0025,1441,2,3,34,3.7,1.64,0,10,15700,469.67,883751.04
P0026,2630,5,4,4,23.2,3.41,3,7,6500,796.56,1239358.77
P0027,2883,6,5,2,24.1,2.15,4,10,16800,850.58,1572067.12
P0028,1836,3,3,25,6.3,3.26,2,6,5300,513.41,946669.2
P0029,3094,6,5,4,21.1,2.58,4,6,5200,896.85,1473236.48
P0030,3965,6,5,19,23.8,4.94,4,9,3700,1068.49,1769082.72
P0031,2821,6,5,6,35.8,0.76,4,2,17600,727.32,1446502.58
P0032,1954,4,5,16,19.9,1.33,2,2,19700,528.08,1156628.13
P0033,1683,3,2,21,29.6,3.22,2,3,14800,504.11,798120.54
P0034,858,3,2,34,2.8,1.91,3,3,14500,348.18,615585.46
P0035,1812,4,3,22,9.2,1.32,2,6,17800,596.57,1050538.23
P0036,1183,2,1,11,33.7,0.22,2,6,14000,475.16,633852.81
P0037,4089,6,5,17,7.3,3.54,4,1,15500,950.26,2067614.36
P0038,1800,3,2,1,25.6,2.05,2,2,10600,493.11,845144.37
P0039,2636,6,5,34,13.6,0.24,4,3,18300,786.73,1454373.61
P0040,2329,6,5,20,17.4,4.92,4,7,18200,702.23,1327530.74
P0041,731,3,3,0,20.5,4.05,3,4,12800,367.71,592524.39
P0042,3102,6,5,7,27.8,1.57,4,7,11800,862.6,1524696.05
P0043,1761,5,4,12,16.8,4.71,4,3,19200,589.89,1011939.11
P0044,1794,4,3,27,30.2,3.07,3,8,14800,608.14,934238.21
P0045,1425,4,4,10,25.5,1.49,4,10,12000,565.84,859864.32
P0046,1821,3,2,9,2.4,1.3,2,10,5300,603.32,979792.57
P0047,4179,6,5,12,27.7,1.98,4,4,7200,1045.83,1952479.58
P0048,3704,6,5,14,7.9,4.79,4,8,4700,998.46,1771798.56
P0049,4024,6,5,8,30.8,3.37,4,10,11600,1119.32,1937256.81
P0050,3496,6,5,35,17.8,0.88,4,8,10100,980.46,1654370.15
P0051,3990,6,5,33,19.2,1.27,4,2,21700,950.77,2006580.93
P0052,2762,6,5,9,9.9,3.5,4,4,5100,766.65,1413826.15
P0053,1905,6,5,26,3.8,4.18,4,10,21300,644.85,1305226.7
P0054,2503,5,5,19,29.0,4.28,4,9,17400,818.53,1271086.68
P0055,1453,3,2,17,17.4,0.24,2,7,22000,472.04,932814.91
P0056,3098,6,5,25,23.1,3.35,4,7,6900,908.33,1441606.3
P0057,1294,2,2,24,13.4,2.33,1,7,10600,467.12,692706.61
P0058,885,2,1,34,3.4,4.76,0,2,20100,227.33,576764.21
P0059,677,1,1,1,24.2,1.27,0,2,17900,280.64,443524.74
P0060,2060,4,5,7,29.9,0.9,3,2,18300,542.37,1140493.52
P0061,1827,5,5,24,16.0,3.6,3,10,21100,676.92,1148661.39
P0062,1785,5,5,7,30.6,2.87,3,6,17100,581.14,1071158.23
P0063,2067,4,5,21,2.0,2.16,3,2,14500,637.14,1160854.84
P0064,3447,6,5,11,28.3,4.83,4,10,17200,997.92,1681775.07
P0065,2454,6,5,17,13.3,1.3,4,5,15000,706.11,1335490.87
P0066,2102,5,4,31,32.6,0.99,3,6,10100,629.39,987959.51
P0067,4155,6,5,17,21.8,2.63,4,2,9600,1023.91,1863667.64
P0068,3378,6,5,31,17.9,0.18,4,4,13800,905.22,1689790.01
P0069,1804,5,5,23,18.8,2.7,4,9,11900,647.9,979221.1
P0070,1494,3,4,12,13.0,3.74,3,3,8400,471.56,803442.3
P0071,2533,6,5,33,23.3,4.9,4,5,9300,732.03,1169198.82
P0072,1068,3,2,3,21.7,3.52,1,8,6100,450.51,592647.15
P0073,2901,6,5,30,17.6,1.0,4,5,15700,773.59,1553567.31
P0074,2913,6,5,3,7.0,4.07,4,2,9800,740.19,1545018.51
P0075,3681,6,5,14,29.8,1.96,4,5,18500,1001.58,1818094.19
P0076,3047,6,5,13,24.3,1.4,4,3,9600,781.84,1527635.67
P0077,857,1,1,26,17.9,3.01,0,1,9400,235.07,354027.95
P0078,841,3,2,16,30.3,3.16,3,4,14300,355.86,542339.71
P0079,1470,4,3,17,31.7,0.45,2,5,18700,509.5,816045.62
P0080,1059,3,4,19,27.0,4.72,3,9,16100,487.4,625766.36
P0081,2999,6,5,20,23.5,0.23,4,10,18500,934.9,1675134.43
P0082,1653,5,4,11,18.7,3.29,4,3,18400,557.13,1018557.32
P0083,3885,6,5,30,14.2,1.73,4,2,7600,936.28,1794330.4
P0084,2190,6,5,29,4.7,1.34,4,7,16600,740.69,1299321.76
P0085,554,2,3,29,16.6,1.02,1,10,16200,357.26,466214.9
P0086,2799,6,5,28,33.7,2.48,4,10,9600,874.8,1280811.26
P0087,1822,5,4,35,16.4,1.2,3,8,6500,633.73,955574.05
P0088,1745,5,5,17,16.7,2.46,4,4,15100,597.23,1101749.02
P0089,2121,4,5,32,28.7,0.77,2,5,14100,585.77,1052608.56
P0090,560,1,2,19,32.1,2.94,1,8,7300,316.45,182943.45
P0091,2533,6,5,35,29.3,1.95,4,4,21300,707.82,1289589.16
P0092,2232,4,4,30,27.2,4.08,3,3,16100,679.24,1128359.75
P0093,1067,4,5,21,33.2,4.38,3,2,16900,452.1,627110.9
P0094,4117,6,5,4,18.6,4.85,4,10,21200,1080.81,2143840.16
P0095,878,2,3,34,15.4,1.65,2,8,17300,367.63,643265.71
P0096,1727,3,4,5,17.3,0.58,3,2,14800,496.5,1024821.68
P0097,1776,3,2,20,30.6,1.54,2,7,7200,538.1,726075.46
P0098,1287,2,1,5,23.7,1.97,2,4,16200,480.94,756362.58
P0099,1136,2,2,16,18.3,3.37,1,5,20800,394.14,802246.8
P0100,2956,6,5,27,26.7,2.34,4,4,13300,845.41,1474742.48
P0101,986,1,1,22,22.5,4.96,0,1,20300,269.06,604095.83
P0102,3737,6,5,31,31.9,4.52,4,10,12500,994.56,1713140.15
P0103,1328,4,4,8,24.4,4.53,4,1,11400,509.9,750182.23
P0104,1088,2,2,20,28.8,0.96,0,9,12800,396.93,564801.4
P0105,1666,3,3,30,36.8,1.55,2,2,15400,530.17,820065.62
P0106,4073,6,5,25,36.8,4.04,4,2,13600,938.53,1883301.65
P0107,2747,6,5,23,26.1,3.39,4,7,19800,852.49,1480630.65
P0108,652,3,4,20,34.9,1.18,1,8,21400,318.58,525058.91
P0109,2222,4,3,2,36.0,1.59,3,2,5900,592.44,934229.72
P0110,2069,6,5,34,16.8,3.74,4,7,20200,646.32,1201882.42
P0111,2554,6,5,17,2.7,1.92,4,8,9500,821.27,1464453.82
P0112,2780,6,5,3,16.0,1.03,4,8,5800,842.68,1460335.32
P0113,3178,6,5,1,3.3,1.73,4,10,8700,878.9,1722166.16
P0114,1434,2,2,9,30.3,3.02,1,3,6800,423.14,568249.06
P0115,3820,6,5,1,6.3,1.86,4,10,11700,989.18,2003928.25
P0116,2274,6,5,4,18.9,3.91,4,10,6200,754.52,1201460.32
P0117,1457,4,3,33,12.5,3.25,2,1,15700,468.99,800941.81
P0118,3467,6,5,5,13.3,0.83,4,5,19400,927.37,1907105.09
P0119,2796,6,5,24,37.8,2.7,4,9,18900,834.3,1415770.88
P0120,3231,6,5,13,17.2,4.45,4,6,15100,873.45,1642710.71
P0121,3538,6,5,27,12.9,1.35,4,8,5200,921.96,1712399.45
P0122,3599,6,5,8,21.8,2.97,4,9,11900,1002.82,1803311.34
P0123,2232,5,5,27,33.2,3.63,4,10,11400,736.92,1049592.17
P0124,3239,6,5,6,14.3,2.83,4,5,18100,845.64,1744074.97
P0125,2307,6,5,35,2.5,4.65,4,5,4200,673.3,1139922.59
P0126,1941,5,4,11,33.2,2.87,4,2,7100,627.48,859957.52
P0127,675,1,2,33,9.4,2.16,0,3,12900,228.66,372239.86
P0128,2992,6,5,9,7.2,3.13,4,2,10400,786.87,1637038.06
P0129,2286,5,5,28,16.6,1.16,4,2,12300,658.47,1181216.58
P0130,2543,6,5,19,3.2,2.04,4,1,3600,670.18,1338331.06
P0131,1415,2,2,18,13.5,0.14,2,7,7900,461.62,717426.32
P0132,2838,6,5,4,16.0,3.74,4,1,15200,794.96,1508793.99
P0133,4081,6,5,27,22.4,3.58,4,5,6400,1015.08,1841262.74
P0134,3081,6,5,23,4.7,4.24,4,7,18500,858.62,1697930.95
P0135,872,2,2,21,9.6,3.92,0,9,19700,316.36,571668.82
P0136,1981,5,5,9,10.1,0.82,3,3,18900,552.87,1247221.86
P0137,3659,6,5,11,36.2,3.18,4,10,18300,1003.51,1843701.02
P0138,3152,6,5,20,7.0,0.43,4,5,10500,866.5,1626472.91
P0139,1991,6,5,19,18.4,0.28,4,5,5400,662.85,1047460.35
P0140,2983,6,5,29,22.7,4.78,4,1,15000,819.84,1445081.09
P0141,2891,6,5,20,23.6,2.56,4,8,6100,877.48,1418725.92
P0142,895,3,4,11,2.9,3.57,2,9,16800,440.08,670897.44
P0143,2040,5,5,24,16.4,1.76,4,1,19600,623.93,1207900.79
P0144,3328,6,5,16,27.9,3.32,4,3,12000,823.19,1584334.8
P0145,3268,6,5,19,36.8,3.52,4,3,18700,875.12,1620276.46
P0146,3185,6,5,33,4.9,3.39,4,6,3900,861.56,1538782.05
P0147,1288,2,2,31,8.5,5.0,0,2,11000,380.28,675115.97
P0148,3970,6,5,2,25.7,4.39,4,3,18700,968.27,2012148.39
P0149,1214,2,3,10,27.8,0.31,1,4,14800,402.58,677650.76
P0150,1508,5,4,19,36.7,3.94,3,6,20800,583.15,796379.75
P0151,2354,6,5,24,19.9,2.15,4,4,18900,665.56,1320227.35
P0152,4130,6,5,6,27.5,2.63,4,5,5600,1059.71,1917623.96
P0153,1667,4,5,9,31.8,0.55,2,8,12400,599.11,869317.05
P0154,2081,4,4,5,15.2,0.24,2,6,7200,570.34,1107555.77
P0155,1725,4,5,8,29.2,2.4,4,1,5500,504.4,810701.7
P0156,3528,6,5,27,5.6,1.51,4,2,4700,862.88,1700629.78
P0157,3167,6,5,4,5.5,4.54,4,9,3900,921.26,1539237.48
P0158,1743,4,3,22,10.3,2.14,4,2,16900,615.21,1006934.63
P0159,827,3,4,32,30.2,2.59,1,7,15500,312.21,446574.91
P0160,3611,6,5,4,14.1,3.69,4,2,18300,927.5,1914694.46
P0161,1911,4,3,22,21.4,4.09,2,8,21300,597.83,1091358.31
P0162,3482,6,5,18,8.9,3.98,4,6,11400,930.3,1770810.6
P0163,3889,6,5,16,2.8,3.27,4,6,4700,1038.6,1870071.94
P0164,2057,5,5,28,34.2,1.99,3,8,21200,661.01,1141619.19
P0165,3815,6,5,5,28.0,0.49,4,3,17400,932.08,1941647.85
P0166,1760,4,4,27,7.6,2.28,3,1,12500,535.29,996321.5
P0167,2331,6,5,3,4.2,3.22,4,9,20800,723.58,1574300.61
P0168,3327,6,5,8,4.0,3.91,4,6,13300,945.81,1789203.46
P0169,682,3,2,28,36.1,1.92,1,10,7000,370.71,223410.18
P0170,1572,3,2,11,19.7,2.0,3,2,10200,529.46,830753.01
P0171,3433,6,5,18,26.8,4.99,4,2,6900,907.22,1455508.28
P0172,2373,5,5,20,25.9,3.58,4,9,10900,804.27,1204633.21
P0173,4037,6,5,11,30.5,2.59,4,4,7000,978.33,1778059.8
P0174,2894,6,5,35,6.2,4.43,4,5,13600,860.88,1502963.96
P0175,3494,6,5,26,29.6,4.13,4,3,11600,909.15,1542925.24
P0176,1961,4,5,11,29.5,0.73,4,1,6600,596.79,944433.37
P0177,1795,3,2,20,35.6,1.2,3,5,5500,553.16,697976.41
P0178,1062,4,4,34,4.9,3.24,4,10,7400,508.28,629002.47
P0179,3107,6,5,21,32.3,2.86,4,2,4600,858.11,1346483.13
P0180,1413,4,4,1,19.7,3.17,3,5,15800,483.83,862333.08
P0181,3856,6,5,19,18.1,3.47,4,8,14100,1018.51,1915366.96
P0182,1830,5,5,22,37.1,0.74,4,9,17800,628.02,1058769.56
P0183,1540,4,3,17,17.9,0.79,2,5,13300,533.62,798993.16
P0184,1204,3,4,20,8.4,0.88,3,8,16200,545.63,894773.97
P0185,2587,5,4,25,19.9,4.84,3,10,12500,735.53,1273300.0
P0186,4002,6,5,30,11.9,0.14,4,7,6900,1072.61,1948172.52
P0187,3529,6,5,23,3.2,0.35,4,4,12700,918.54,1880851.82
P0188,3680,6,5,7,6.2,0.57,4,6,17700,1008.29,2028736.78
P0189,3642,6,5,32,16.2,0.3,4,3,21700,904.86,1867405.73
P0190,3033,6,5,20,35.5,1.66,4,10,11100,905.31,1448523.77
P0191,2627,6,5,31,27.4,1.57,4,6,11900,792.24,1331855.8
P0192,3813,6,5,1,23.3,1.4,4,10,18200,1009.09,1987987.59
P0193,760,3,3,10,20.6,3.63,2,3,20900,307.02,555379.32
P0194,1331,2,2,20,16.8,2.12,0,7,16300,441.08,733483.96
P0195,2481,6,5,3,27.3,2.64,4,6,20400,746.42,1348748.68
P0196,2432,6,5,34,14.4,3.88,4,5,19100,726.18,1408074.94
P0197,1559,4,5,19,9.7,4.87,3,5,21500,506.35,1026853.5
P0198,1978,6,5,17,12.0,2.91,4,7,13600,701.88,1138175.3
P0199,3716,6,5,2,12.0,3.6,4,8,20200,970.52,1990069.13
P0200,2756,6,5,17,6.5,3.12,4,4,9700,729.16,1451237.33
P0201,2725,5,5,14,3.4,2.13,4,8,6000,834.62,1484835.01
P0202,1196,3,4,30,18.9,1.08,2,6,10800,461.87,724692.47
P0203,3698,6,5,14,21.0,3.64,4,3,14100,969.86,1840072.22
P0204,3975,6,5,11,35.7,4.81,4,1,3700,937.34,1736121.97
P0205,3018,6,5,18,18.1,3.24,4,8,6900,904.35,1439678.8
P0206,1011,2,1,29,25.2,3.62,0,6,11000,350.76,442316.62
P0207,3651,6,5,25,31.7,2.62,4,7,20600,930.72,1851237.32
P0208,1566,3,3,24,10.1,3.79,2,5,18400,524.17,930821.31
P0209,596,1,2,23,26.8,0.4,0,8,11300,259.25,290561.8
P0210,4186,6,5,7,24.8,4.71,4,10,9100,1075.39,1882618.56
P0211,1097,3,2,29,28.8,3.07,2,9,15500,491.2,608443.84
P0212,3670,6,5,5,20.7,2.69,4,2,17900,875.82,1816727.6
P0213,3944,6,5,12,22.4,0.83,4,9,14800,1009.54,1988877.68
P0214,922,3,3,3,18.1,2.61,2,10,4900,451.84,575191.3
P0215,3305,6,5,1,16.0,4.1,4,4,18300,830.2,1720667.09
P0216,2766,6,5,30,2.7,2.1,4,7,13000,861.17,1538802.49
P0217,2116,5,5,24,4.4,4.82,4,3,20200,682.91,1363989.32
P0218,2159,6,5,14,32.0,3.81,4,8,20700,736.53,1295213.65
P0219,2287,6,5,14,10.5,1.8,4,4,22000,716.21,1477142.03
P0220,3068,6,5,13,4.0,3.01,4,10,20700,922.57,1800739.26
P0221,749,1,2,2,16.2,1.25,0,1,7000,237.21,386576.78
P0222,3546,6,5,20,10.1,4.39,4,9,9100,967.64,1808189.99
P0223,1677,3,4,11,24.3,2.19,2,1,12300,518.02,826288.42
P0224,1855,5,5,26,6.9,1.94,4,8,9600,694.83,1011739.15
P0225,1781,5,4,29,34.9,2.86,4,9,17000,621.99,938330.53
P0226,3198,6,5,23,4.9,3.65,4,1,10300,805.36,1633233.02
P0227,3027,6,5,4,8.4,3.83,4,9,9000,880.8,1614314.66
P0228,612,1,1,7,28.8,3.8,0,10,21500,290.61,437772.5
P0229,1530,5,5,18,15.4,2.71,4,5,10100,551.36,913012.22
P0230,3838,6,5,20,34.9,1.92,4,1,17900,969.25,1795406.78
P0231,3586,6,5,16,21.7,2.96,4,7,11000,924.72,1717371.29
P0232,3963,6,5,35,25.4,3.46,4,8,22000,1053.51,1996476.4
P0233,2559,6,5,22,7.7,3.63,4,3,17300,775.65,1482672.04
P0234,3986,6,5,3,29.4,2.12,4,4,5200,1016.2,1788576.83
P0235,587,1,2,29,15.1,3.13,1,10,15800,366.59,468687.49
P0236,2234,4,3,33,27.9,2.73,3,1,16300,640.44,1068165.25
P0237,3310,6,5,6,35.0,2.67,4,4,19300,876.45,1680851.4
P0238,2175,4,4,25,18.3,1.29,4,4,11100,687.9,1079461.86
P0239,4022,6,5,2,4.9,1.96,4,8,4900,1063.63,1983836.21
P0240,4012,6,5,21,22.2,4.3,4,9,4500,1033.14,1782121.15
P0241,4105,6,5,30,11.4,4.63,4,5,17400,1035.25,2110674.65
P0242,1838,3,2,9,29.0,3.59,2,2,11100,481.09,858494.83
P0243,1534,5,5,34,13.6,3.8,3,2,16300,519.67,891947.28
P0244,1500,3,3,25,36.9,1.7,3,5,15000,524.06,738391.37
P0245,2007,6,5,27,8.3,2.97,4,2,19300,594.8,1227128.86
P0246,1647,3,3,9,28.5,1.65,1,2,3600,489.76,702306.91
P0247,2371,6,5,6,6.3,1.02,4,9,17700,766.02,1496799.35
P0248,2820,6,5,20,33.0,0.16,4,7,5600,844.08,1303791.31
P0249,2841,6,5,33,7.7,1.97,4,5,11200,778.22,1483362.66
P0250,1680,4,4,30,30.1,1.87,2,8,18700,570.07,932300.97
P0251,2425,5,4,19,1.7,2.04,4,7,11900,744.52,1304423.6
P0252,3216,6,5,19,13.2,4.74,4,8,11500,872.64,1645374.18
P0253,2181,5,5,31,36.8,3.93,4,7,10600,738.23,972822.68
P0254,2859,6,5,34,8.1,3.86,4,8,21600,811.58,1622974.04
P0255,3817,6,5,4,31.4,4.0,4,8,7000,1026.39,1742419.93
P0256,3479,6,5,4,17.9,3.03,4,7,17100,940.88,1883063.13
P0257,4112,6,5,34,2.8,4.85,4,9,18700,1091.98,2165310.14
P0258,3243,6,5,10,25.1,0.32,4,7,11900,944.31,1662488.3
P0259,2313,5,4,6,10.9,2.6,4,9,18300,773.11,1396821.82
P0260,2446,6,5,32,7.0,4.99,4,2,11000,685.88,1295313.61
P0261,901,1,2,9,14.2,1.78,0,9,15800,345.01,662563.55
P0262,2403,6,5,19,3.1,3.58,4,6,20000,695.48,1500250.0
P0263,3827,6,5,15,20.3,2.8,4,9,14400,1072.71,1908903.81
P0264,1305,2,3,27,15.9,3.71,0,8,18600,413.86,801124.82
P0265,568,2,1,13,11.7,3.55,0,10,6100,342.19,305059.53
P0266,1357,3,2,16,26.0,2.5,3,6,18700,500.12,785447.97
P0267,2157,6,5,22,14.3,2.34,4,5,19200,687.28,1272861.6
P0268,1527,4,3,11,15.1,0.79,3,7,18700,517.65,974593.36
P0269,2121,5,4,31,24.7,3.5,4,3,17700,614.47,1100064.26
P0270,3998,6,5,3,33.1,4.76,4,3,8400,1017.16,1812983.54
P0271,2850,6,5,31,16.4,2.51,4,8,16000,805.73,1445387.9
P0272,1453,3,2,17,9.7,1.51,2,10,16100,546.51,892380.84
P0273,1013,3,2,17,29.8,4.13,2,9,4500,476.34,391202.69
P0274,2291,4,5,15,12.4,5.0,3,5,12400,703.6,1211103.38
P0275,906,2,1,15,9.2,3.71,2,6,21600,406.11,656207.31
P0276,3764,6,5,3,22.3,2.71,4,9,7800,997.89,1829528.04
P0277,3433,6,5,17,36.3,2.62,4,2,6900,918.22,1515689.55
P0278,1685,5,4,8,10.6,3.59,3,7,16000,546.52,988162.02
P0279,3140,6,5,26,15.2,0.47,4,7,16600,904.18,1645767.96
P0280,2412,6,5,0,33.2,4.25,4,8,19700,776.57,1269851.31
P0281,2017,4,5,25,9.5,2.21,2,8,10300,601.35,1078831.09
P0282,1084,4,4,21,34.1,3.84,2,2,19500,407.51,670992.35
P0283,2432,5,4,10,17.6,0.1,4,4,21100,756.7,1450491.84
P0284,4131,6,5,23,10.6,1.92,4,3,4800,999.21,1891287.52
P0285,1801,5,5,14,17.2,0.55,3,1,8900,528.86,989563.92
P0286,3335,6,5,0,26.9,4.1,4,3,15700,823.38,1693320.29
P0287,2119,4,5,6,5.3,1.9,3,3,13200,639.77,1237389.82
P0288,3323,6,5,33,22.1,3.09,4,8,12400,946.38,1580646.85
P0289,3122,6,5,26,24.0,2.27,4,2,6000,779.96,1452905.44
P0290,1989,5,5,8,10.5,3.26,3,9,18800,671.02,1297609.38
P0291,3038,6,5,1,32.4,3.33,4,4,16700,835.53,1557341.53
P0292,3196,6,5,31,15.6,1.28,4,10,5300,928.11,1557228.21
P0293,599,1,1,8,15.6,4.21,0,6,17400,288.11,458532.3
P0294,3705,6,5,4,2.0,1.16,4,7,16400,959.55,1948150.57
P0295,3468,6,5,27,27.1,0.5,4,9,19200,927.51,1786962.08
P0296,1382,2,3,20,15.8,3.21,2,2,11400,452.63,717581.87
P0297,3539,6,5,15,4.6,2.23,4,10,19000,942.52,1933679.17
P0298,1269,2,1,8,27.1,0.9,1,9,16700,489.72,683248.05
P0299,3502,6,5,23,6.1,3.93,4,2,4200,867.86,1605309.78
P0300,1627,5,5,4,19.6,2.6,3,8,18000,550.55,1073171.13
P0301,1194,3,2,7,9.8,2.59,1,1,9700,306.52,627064.2
P0302,1283,2,3,26,9.7,1.32,2,6,10400,495.54,779056.65
P0303,2891,6,5,32,26.1,0.36,4,9,4600,903.79,1362910.16
P0304,1706,4,4,5,21.7,0.14,2,5,17900,555.53,1057673.95
