batch_id,temperature_c,pressure_kpa,cycle_time_sec,material_humidity_pct,operator_experience_years,machine_age_years,shift_hours_into_day,vibration_mm_s,power_consumption_kwh,defect_flag
B00001,187.0,97.7,105.5,4.15,17.4,13.7,22.0,3.31,76.4,0
B00002,198.8,105.3,128.3,7.76,17.4,12.9,21.6,0.61,63.6,0
B00003,204.2,162.6,67.0,8.16,13.1,13.9,18.9,2.6,41.1,0
B00004,239.5,152.7,63.2,7.9,7.4,7.8,21.9,5.35,36.8,1
B00005,210.1,114.6,120.6,7.78,14.2,6.9,6.8,1.29,34.5,0
B00006,198.8,93.9,153.1,2.12,14.0,0.9,2.1,3.9,83.3,0
B00007,233.8,164.1,100.8,7.99,8.9,4.7,13.9,3.06,43.6,1
B00008,235.5,100.4,95.0,1.58,12.0,9.3,13.4,3.85,32.8,0
B00009,193.4,140.5,122.1,7.89,16.1,8.8,20.3,1.64,30.9,0
B00010,232.9,112.3,77.9,5.35,0.8,12.5,9.9,6.48,45.5,1
B00011,188.3,135.6,119.4,7.81,12.3,12.9,2.6,5.05,81.6,1
B00012,225.5,162.3,118.3,4.53,6.3,12.1,9.5,5.81,72.3,0
B00013,229.8,110.2,58.2,3.02,2.2,2.5,0.7,5.32,32.8,0
B00014,180.2,160.0,112.4,2.02,11.3,5.6,8.6,5.47,42.7,0
B00015,186.5,128.0,42.1,4.84,10.9,3.0,15.7,2.99,84.8,0
B00016,202.5,115.0,80.5,6.2,6.7,12.3,4.6,4.43,32.5,0
B00017,168.0,115.5,151.2,5.62,16.8,7.2,18.2,2.57,69.3,1
B00018,224.2,100.2,96.2,7.76,2.0,3.0,21.0,3.1,66.4,1
B00019,218.2,88.6,135.6,7.27,17.2,13.3,13.5,1.93,75.0,0
B00020,210.2,89.5,127.6,3.25,9.2,1.1,4.7,1.7,55.0,0
B00021,175.7,103.2,121.9,1.36,0.5,11.7,7.5,6.79,53.8,0
B00022,183.8,136.4,109.5,7.87,4.0,1.4,22.7,5.06,43.9,0
B00023,172.7,119.6,138.5,2.74,16.7,11.2,4.3,5.83,59.4,1
B00024,219.7,111.3,52.2,7.99,11.4,1.8,2.5,5.79,72.1,1
B00025,201.1,163.3,103.6,1.28,6.7,8.9,16.4,4.95,41.9,0
B00026,209.2,99.4,62.7,3.0,11.1,2.8,20.5,4.13,33.1,0
B00027,228.6,152.2,125.3,3.49,10.3,9.7,20.3,0.45,85.0,1
B00028,166.9,104.3,110.1,2.04,16.0,8.3,21.7,2.04,24.2,0
B00029,221.5,149.3,133.7,5.23,6.2,13.5,20.3,1.7,86.3,1
B00030,176.7,92.7,80.3,3.83,3.6,3.4,1.0,6.77,76.6,0
B00031,236.1,124.3,143.2,5.02,12.4,1.8,20.1,1.65,35.7,1
B00032,211.2,100.8,102.6,4.84,6.4,2.3,1.4,4.39,36.0,0
B00033,240.8,151.2,150.6,2.28,4.8,12.1,20.2,4.83,28.9,1
B00034,202.6,154.8,90.5,2.57,15.8,6.2,15.7,5.12,81.5,1
B00035,174.4,121.5,113.0,3.3,14.1,2.3,3.6,1.42,55.5,0
B00036,189.3,103.3,105.4,5.32,4.3,10.1,16.7,2.92,71.7,1
B00037,170.1,112.3,142.0,2.98,15.1,9.1,4.4,5.27,81.4,1
B00038,235.9,113.6,108.3,4.0,13.1,1.1,22.4,2.43,78.6,0
B00039,174.6,101.8,67.2,3.28,7.7,8.4,16.2,1.38,80.6,1
B00040,209.3,163.1,67.4,6.96,8.1,3.7,6.8,2.68,62.8,1
B00041,179.3,136.7,71.3,3.6,13.8,3.0,20.5,1.24,63.1,1
B00042,191.0,113.4,117.4,5.9,1.9,4.8,17.4,5.2,61.4,0
B00043,175.3,142.5,83.2,8.22,6.5,12.3,3.2,6.14,36.5,1
B00044,242.4,159.5,78.6,5.66,10.9,13.0,12.0,4.48,29.7,1
B00045,228.6,98.9,100.6,4.81,6.5,8.5,11.3,3.08,45.4,0
B00046,236.9,132.2,110.4,7.76,3.1,11.1,4.4,5.22,41.6,1
B00047,231.1,89.1,51.8,7.81,10.8,12.6,4.0,5.54,80.4,1
B00048,191.3,139.6,88.6,6.59,12.2,7.7,1.6,6.37,56.6,0
